Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
199834,386592610,13,-1,6.26598,-2.19377,-2.25819,-5.41657,-1.31114,-2.34173,11,-1,54.7666,-2.77475,-45.4915,-30.3678,-0.624848,-1.63172,-11,1,42.3699,4.74945,41.4309,7.49233,0.17871,1.45666,-11,1,91.9107,14.7557,-5.76366,90.5352,2.44382,-0.372381
199834,397682818,13,-1,75.7556,34.9416,16.61,-65.1314,-1.29241,0.443744,-13,1,32.8621,-26.68,-18.7985,3.83402,0.117205,-2.52779,-11,1,4.11457,-3.20624,-2.57605,0.116785,0.028391,-2.46475,11,-1,2.58355,-2.01169,-1.61796,0.100288,0.0388374,-2.46425
199834,412946647,13,-1,17.1115,-8.81253,2.14621,14.5095,1.24883,2.9027,-13,1,10.3636,-7.1992,1.47194,7.30738,0.877447,2.93991,-11,1,82.3035,49.1743,15.229,-64.2171,-1.046,0.300326,11,-1,49.1821,-36.6586,-14.316,-29.4971,-0.692761,-2.76928
199834,519019963,-13,1,113.753,25.0998,-73.1895,83.3848,0.935255,-1.24042,13,-1,223.874,-14.4551,45.0573,218.816,2.23595,1.88124,13,-1,31.2038,-22.9785,8.62429,19.2685,0.72097,2.78254,-13,1,13.5344,-10.8387,-5.62051,-5.83954,-0.461705,-2.66321
199834,96642086,11,-1,44.0453,42.0418,8.94618,9.61475,0.221862,0.209665,11,-1,37.7753,-31.2195,-5.87614,-20.4399,-0.605698,-2.95555,-11,1,5.36333,-4.80982,-0.351767,-2.34674,-0.469201,-3.06859,-11,1,3.49658,-2.89066,-0.543967,-1.89057,-0.605132,-2.95559
199864,112611989,-13,1,40.3503,-16.7133,2.57013,-36.636,-1.51574,2.98901,13,-1,9.51981,6.00426,5.62781,4.78457,0.552808,0.753046,13,-1,6.49244,-3.67755,-0.132742,-5.34777,-1.16853,-3.10551,11,-1,19.5511,-6.39479,2.46139,-18.3111,-1.70939,2.77417
199864,235464934,13,-1,14.3821,8.45098,-10.2986,5.41791,0.396234,-0.883622,-13,1,10.1525,9.0133,-3.77971,-2.74512,-0.277299,-0.397073,-13,1,11.6673,5.56825,0.57326,-10.2362,-1.36427,0.10259,13,-1,9.42524,3.13157,-1.78635,8.70782,1.61531,-0.518395
199864,273573468,13,-1,106.174,28.8065,-78.7041,-65.1825,-0.715191,-1.21993,-13,1,11.2459,1.45116,-9.38166,-6.028,-0.598587,-1.41733,-11,1,178.524,32.8482,175.181,10.1687,0.0570215,1.38544,11,-1,28.4014,-23.5573,8.73723,13.242,0.505262,2.78643
199864,291345320,-13,1,113.475,107.601,-23.997,-26.885,-0.241514,-0.219428,13,-1,35.0141,-5.68641,-16.4233,-30.396,-1.32536,-1.90412,13,-1,11.2131,10.8251,-1.93696,-2.18811,-0.197683,-0.177059,-13,1,5.57474,5.22466,-1.26376,-1.47389,-0.270872,-0.237325
199864,396825385,-13,1,45.6002,33.4567,27.2751,14.7,0.334286,0.683963,13,-1,97.5389,-26.2713,-4.66356,93.8184,1.97015,-2.96591,13,-1,33.7592,-2.73469,-23.1417,-24.4265,-0.915068,-1.68842,-13,1,59.9757,3.96825,11.9122,58.6466,2.24576,1.24923
199864,426819599,13,-1,14.3254,9.71243,-6.59677,8.2072,0.651869,-0.596636,-13,1,13.0376,8.20573,-4.88736,8.87391,0.830351,-0.537181,-11,1,107.269,-46.6632,-84.8389,-46.169,-0.460391,-2.07366,11,-1,10.6007,-4.15903,-9.29486,2.94682,0.285494,-1.99153
199864,453748482,11,-1,50.8163,33.8717,0.389777,-37.8795,-0.962566,0.011507,-11,1,32.6049,-32.4795,0.207624,2.85019,0.0876394,3.1352,11,-1,10.606,-0.463146,6.05753,-8.69356,-1.15586,1.64711,-11,1,3.98929,-0.133189,2.42439,-3.16529,-1.08067,1.62568
199864,466425626,13,-1,7.14536,-0.368943,-5.38809,4.67732,0.783423,-1.63916,-13,1,7.2051,2.07898,-4.82386,4.93058,0.837328,-1.16387,13,-1,11.5651,2.23861,4.63361,10.3566,1.44923,1.12074,-13,1,5.97922,2.64858,0.925936,5.27897,1.38934,0.336316
199864,472573487,-11,1,43.2158,-21.0139,-30.3443,22.4777,0.576513,-2.17648,11,-1,34.2133,14.0764,27.5731,-14.5646,-0.454634,1.09877,-11,1,9.61413,-5.90505,-7.1648,2.49552,0.265645,-2.2601,11,-1,3.66679,-2.25989,-2.72343,0.959779,0.267985,-2.26344
199864,85074919,-13,1,9.952,7.10642,-6.68159,1.97139,0.200755,-0.754596,13,-1,7.3894,5.34027,-4.79318,1.76038,0.242924,-0.731462,11,-1,146.225,-24.2722,17.6876,143.107,2.26528,2.51185,-11,1,16.6069,16.1139,-4.01213,0.192501,0.0115921,-0.244025
199867,122398854,-13,1,66.6624,35.5773,-3.88231,56.241,1.23377,-0.108693,13,-1,20.7667,-19.2056,0.925794,-7.8444,-0.397425,3.09343,11,-1,11.2939,-10.6565,0.557106,-3.69881,-0.34003,3.08936,-11,1,7.32967,-6.91746,0.300588,-2.40468,-0.340669,3.09817
199867,218991685,-13,1,7.83919,-4.49024,0.752132,-6.38073,-1.13885,2.97563,11,-1,54.2813,38.5428,-36.4115,-11.6242,-0.217513,-0.756972,-11,1,69.7554,-5.10105,32.4145,-61.5556,-1.38673,1.72689,-11,1,37.6838,-7.80145,-0.932541,-36.8556,-2.24992,-3.02262
199867,279003901,13,-1,49.5805,-36.4273,29.3298,16.463,0.345128,2.46371,-13,1,49.0491,-16.7532,-30.8591,-34.247,-0.863818,-2.06817,-11,1,8.05881,-5.88473,4.82947,2.64398,0.340681,2.45437,11,-1,7.25719,-5.29766,4.35,2.38307,0.341004,2.45411
199867,304433029,-13,1,82.3022,-45.04,-40.6283,-55.6271,-0.821506,-2.40765,13,-1,32.8024,26.5258,15.8445,-11.0146,-0.349337,0.538449,-13,1,8.05705,1.45135,7.64813,2.07475,0.263461,1.38326,13,-1,6.21603,4.22071,2.04503,4.07815,0.786048,0.45119
199867,52798855,13,-1,27.6635,-10.0729,2.40991,25.6512,1.63853,2.90676,13,-1,14.9304,-8.49449,-2.56285,12.0075,1.11054,-2.84857,-13,1,28.2376,-7.85617,0.738813,27.1124,1.94797,3.04783,-13,1,6.77178,-5.10846,-1.94525,3.99569,0.677853,-2.77776
199867,75623820,-13,1,42.5697,27.1291,-18.6878,-26.9619,-0.747009,-0.603202,13,-1,17.1256,9.41158,-8.56536,-11.46,-0.809269,-0.73836,13,-1,6.2444,3.21228,1.56612,-5.11956,-1.15676,0.453632,-13,1,5.80543,2.71671,-1.47085,-4.91405,-1.24402,-0.496224
199875,190972267,13,-1,40.1506,8.20688,-38.2261,9.13663,0.231614,-1.35931,-13,1,34.9213,-0.0982734,18.0972,29.8659,1.27534,1.57623,13,-1,15.9546,-5.6962,13.9897,5.13613,0.333798,1.95747,-13,1,10.7884,-3.67559,9.51557,3.51037,0.337673,1.93941
